iter	Logloss
0	0.5242175664
1	0.3921473987
2	0.2843697275
3	0.2070621122
4	0.1534253101
5	0.1140698267
6	0.08624246639
7	0.06597853162
8	0.05159820678
9	0.04094805271
10	0.03260911245
11	0.02662452161
12	0.02200579739
13	0.0186400661
14	0.01591538049
15	0.01380199866
16	0.01217754078
17	0.01089003264
18	0.009782169588
19	0.008959190757
20	0.008252071426
21	0.007635233168
22	0.007192553661
23	0.006720864381
24	0.006440460012
25	0.006124486191
26	0.005909492516
27	0.005701415028
28	0.005520626673
29	0.005357679023
30	0.005242303655
31	0.0051527249
32	0.005049426494
33	0.004941858011
34	0.004855117567
35	0.004790050006
36	0.004723282057
37	0.004646357631
38	0.004591961249
39	0.004550069028
40	0.004495146864
41	0.004455864452
42	0.004420273985
43	0.004375039067
44	0.004344247516
45	0.004316588883
46	0.004293169758
47	0.004278266331
48	0.004251029165
49	0.004234485341
50	0.004206488541
51	0.004182942938
52	0.004169575592
53	0.004145171006
54	0.004122675822
55	0.004108830457
56	0.004097267051
57	0.00408420654
58	0.004073503645
59	0.004064049104
60	0.004049736418
61	0.004030651946
62	0.004006590877
63	0.003996855102
64	0.003970770379
65	0.003940320817
66	0.003931590373
67	0.003915934954
68	0.003898954378
69	0.003890164708
70	0.003878765227
71	0.003864784595
72	0.003846316466
73	0.003834514624
74	0.003819005171
75	0.003810556342
76	0.003799112155
77	0.003784428823
78	0.00377920844
79	0.003766500997
80	0.003758372376
81	0.003739760192
82	0.003722846868
83	0.003713292977
84	0.003705799041
85	0.00370162602
86	0.003691237984
87	0.003680211061
88	0.003668761524
89	0.003651481374
90	0.003628854745
91	0.003613859611
92	0.003600010043
93	0.003597904618
94	0.003588941852
95	0.003580620647
96	0.003573146581
97	0.003567144783
98	0.00356123278
99	0.003551004466
100	0.00354312307
101	0.003536065503
102	0.003532025839
103	0.003523408499
104	0.003509264325
105	0.003499847229
106	0.003495303944
107	0.003487279639
108	0.003481841453
109	0.003473197366
110	0.003459413521
111	0.00345169605
112	0.003445489059
113	0.00343856523
114	0.003423806241
115	0.003408732011
116	0.003399008082
117	0.003395242008
118	0.003374339075
119	0.003359113912
120	0.003349916912
121	0.003341513936
122	0.00333476435
123	0.003326451552
124	0.003313304683
125	0.003305974672
126	0.003301153211
127	0.003292414361
128	0.003284609005
129	0.003276784161
130	0.003274159449
131	0.003263838282
132	0.003258067279
133	0.003250224858
134	0.003240152445
135	0.003234226686
136	0.003224869583
137	0.003219553672
138	0.003208580243
139	0.003203633642
140	0.003196986078
141	0.003191776776
142	0.003185671617
143	0.003175320264
144	0.003170978733
145	0.003163483459
146	0.003158132967
147	0.003155159579
148	0.003148828785
149	0.003142687517
150	0.003135593076
151	0.003128799356
152	0.00312426505
153	0.003118921627
154	0.003115641024
155	0.003103988205
156	0.0030966196
157	0.0030922945
158	0.0030809894
159	0.003071862709
160	0.003063837066
161	0.003052497386
162	0.00304787787
163	0.003041993189
164	0.003028809638
165	0.003023278026
166	0.003014972488
167	0.00300890363
168	0.002992879284
169	0.002988266455
170	0.002981823129
171	0.002974808167
172	0.002966900596
173	0.002958603083
174	0.002951576849
175	0.002947625834
176	0.002942799214
177	0.00293334429
178	0.00292867147
179	0.002923922419
180	0.002916065287
181	0.002910622325
182	0.002905031677
183	0.002895605602
184	0.0028882647
185	0.002879515151
186	0.002871672539
187	0.00286341209
188	0.002857628668
189	0.00284817833
190	0.002843680707
191	0.002837562938
192	0.002828468726
193	0.002823580396
194	0.002817513639
195	0.002813445508
196	0.002804374413
197	0.00279765998
198	0.002790111593
199	0.002785544235
200	0.002777160747
201	0.002767704868
202	0.002764450248
203	0.002758078759
204	0.002755501428
205	0.002748437365
206	0.002745998741
207	0.002739918992
208	0.00273594314
209	0.002731722165
210	0.002727420564
211	0.002718056582
212	0.002711388576
213	0.002704037739
214	0.002697075891
215	0.002693577485
216	0.002689886496
217	0.002680186639
218	0.002674783607
219	0.002669853818
220	0.002660618798
221	0.002651690422
222	0.002645783005
223	0.002641952163
224	0.002637682278
225	0.002633383734
226	0.002623406657
227	0.002615617159
228	0.002606714766
229	0.002602740824
230	0.002598395854
231	0.002590526686
232	0.002584529282
233	0.002577247034
234	0.002574673716
235	0.00256902193
236	0.00256539781
237	0.002560810965
238	0.002556812568
239	0.002548496523
240	0.002545235025
241	0.0025394004
242	0.002534786997
243	0.002533345488
244	0.002527488128
245	0.002519491144
246	0.002517385528
247	0.002512191892
248	0.002506772429
249	0.002503999459
250	0.002498027274
251	0.002494909641
252	0.002489797394
253	0.00248418573
254	0.002479112268
255	0.002476225047
256	0.002472743071
257	0.002464991402
258	0.002457556883
259	0.002447886258
260	0.002444320792
261	0.002436498623
262	0.002432256441
263	0.002428725555
264	0.002424227742
265	0.002417972987
266	0.002414884012
267	0.002410055864
268	0.002405318467
269	0.002398301594
270	0.002393574897
271	0.0023848349
272	0.002375366984
273	0.002367942783
274	0.002365782143
275	0.002361267898
276	0.002356885099
277	0.002352740737
278	0.002347705677
279	0.002343539343
280	0.002339812817
281	0.002336378606
282	0.002332057709
283	0.002324168289
284	0.002322376576
285	0.002317665545
286	0.002309626146
287	0.002303712998
288	0.002301249918
289	0.002294332967
290	0.002292376374
291	0.002288622528
292	0.002283818835
293	0.002278526997
294	0.002276076527
295	0.002269504813
296	0.002264246982
297	0.002259831322
298	0.002256347054
299	0.002251544316
300	0.002245942014
301	0.002242079649
302	0.002237379508
303	0.002233257116
304	0.002230489687
305	0.002226336536
306	0.002222460414
307	0.002219288903
308	0.002216276923
309	0.002209834552
310	0.002205135749
311	0.002198927611
312	0.002195970273
313	0.002192239162
314	0.00218954376
315	0.00218637607
316	0.002182874798
317	0.002180638501
318	0.002171553841
319	0.002166533683
320	0.002161084607
321	0.002156078014
322	0.002151362971
323	0.002146568448
324	0.00214498575
325	0.002139980112
326	0.002133579773
327	0.002126282241
328	0.002124022826
329	0.00211926747
330	0.002112152777
331	0.002109297844
332	0.002099559013
333	0.002093286872
334	0.002090845955
335	0.002082715806
336	0.002080766282
337	0.002075709632
338	0.002072475264
339	0.002070538541
340	0.00206498534
341	0.002062024562
342	0.00205617771
343	0.00204588138
344	0.00204285316
345	0.002039950463
346	0.002036991405
347	0.002031380697
348	0.002025233124
349	0.002021804453
350	0.002017649774
351	0.002015965243
352	0.002012163633
353	0.002009222725
354	0.00200751202
355	0.002004694533
356	0.002001177595
357	0.001997931191
358	0.001995199679
359	0.001993469868
360	0.001988071421
361	0.001985397608
362	0.001980156782
363	0.001973631685
364	0.001969056493
365	0.001966153988
366	0.00196116841
367	0.00195701182
368	0.00195250369
369	0.001950508503
370	0.001947191218
